username,tweetcreatedts,text
southwestboyy,2021-12-16 23:56:54,"#Omicron ini seperti virus Corona dengan ""Baju Baru"" . Karena mutasi terjadi dalam jumlah yg banyak sehingga ""kurang"" dikenali oleh antibody di tubuh kita. Ini menyebabkan kasus reinfeksi di beberapa negara terjadi."
manjikro,2021-12-16 23:56:51,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
southwestboyy,2021-12-16 23:56:45,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
treluglio,2021-12-16 23:56:35,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
girlnamedAyu,2021-12-16 23:56:29,"Gejala yg ringan dan tidak khas ini terkadang malah membuat bahaya, orang tidak sadar sedang terinfeksi. Penyebaran #Omicron menjadi semakin luas.."
girlnamedAyu,2021-12-16 23:56:28,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan."
Oplooooooooo,2021-12-16 23:56:07,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
syifamarya,2021-12-16 23:55:46,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
pearlblosoom,2021-12-16 23:55:29,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
ssargxh,2021-12-16 23:55:27,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
sundarkeu_,2021-12-16 23:55:09,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
gabrieladipr,2021-12-16 23:54:57,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
